"icd9pro","d9carotid","d9cArtery","d9pArtery","d9BariatricSurg","d9Renal","d9Transplant","d9Dialysis","d9Kidney_Transplant"
"0539",0,0,0,0,0,0,0,0
"05794",0,0,0,0,0,0,0,0
"0601",0,0,0,0,0,0,0,0
"0602",0,0,0,0,0,0,0,0
"0609",0,0,0,0,0,0,0,0
"0611",0,0,0,0,0,0,0,0
"0612",0,0,0,0,0,0,0,0
"0613",0,0,0,0,0,0,0,0
"062",0,0,0,0,0,0,0,0
"0631",0,0,0,0,0,0,0,0
"0636",0,0,0,0,0,0,0,0
"0639",0,0,0,0,0,0,0,0
"064",0,0,0,0,0,0,0,0
"0651",0,0,0,0,0,0,0,0
"0652",0,0,0,0,0,0,0,0
"066",0,0,0,0,0,0,0,0
"067",0,0,0,0,0,0,0,0
"0681",0,0,0,0,0,0,0,0
"0689",0,0,0,0,0,0,0,0
"069",0,0,0,0,0,0,0,0
"0691",0,0,0,0,0,0,0,0
"0692",0,0,0,0,0,0,0,0
"0693",0,0,0,0,0,0,0,0
"0694",0,0,0,0,0,0,0,0
"0695",0,0,0,0,0,0,0,0
"0698",0,0,0,0,0,0,0,0
"0699",0,0,0,0,0,0,0,0
"0710",0,0,0,0,0,0,0,0
"0711",0,0,0,0,0,0,0,0
"0712",0,0,0,0,0,0,0,0
"0716",0,0,0,0,0,0,0,0
"0721",0,0,0,0,0,0,0,0
"0722",0,0,0,0,0,0,0,0
"0729",0,0,0,0,0,0,0,0
"073",0,0,0,0,0,0,0,0
"0730",0,0,0,0,0,0,0,0
"0743",0,0,0,0,0,0,0,0
"0744",0,0,0,0,0,0,0,0
"0754",0,0,0,0,0,0,0,0
"0761",0,0,0,0,0,0,0,0
"0762",0,0,0,0,0,0,0,0
"0763",0,0,0,0,0,0,0,0
"0764",0,0,0,0,0,0,0,0
"0765",0,0,0,0,0,0,0,0
"0771",0,0,0,0,0,0,0,0
"0779",0,0,0,0,0,0,0,0
"0780",0,0,0,0,0,0,0,0
"0781",0,0,0,0,0,0,0,0
"0782",0,0,0,0,0,0,0,0
