"ucd","cv"
"G001",0
"G003",0
"G009",0
"G030",0
"G039",0
"G048",0
"G049",0
"G060",0
"G061",0
"G062",0
"G09",0
"G10",0
"G111",0
"G119",0
"G122",0
"G20",0
"G210",0
"G218",0
"G219",0
"G232",0
"G238",0
"G301",0
"G308",0
"G309",0
"G310",0
"G311",0
"G312",0
"G318",0
"G319",0
"G35",0
"G360",0
"G372",0
"G373",0
"G379",0
"G406",0
"G407",0
"G409",0
"G419",0
"G459",0
"G473",0
"G479",0
"G588",0
"G589",0
"G600",0
"G608",0
"G609",0
"G610",0
"G618",0
"G628",0
"G629",0
"G64",0
"G700",0
"G709",0
"G710",0
"G711",0
"G728",0
"G729",0
"G819",0
"G822",0
"G825",0
"G830",0
"G834",0
"G838",0
"G839",0
"G903",0
"G904",0
"G908",0
"G909",0
"G911",0
"G912",0
"G919",0
"G92",0
"G930",0
"G931",0
"G932",0
"G934",0
"G935",0
"G936",0
"G938",0
"G939",0
"G950",0
"G951",0
"G952",0
"G959",0
"G961",0
"H050",0
"H440",0
"H664",0
"H669",0
"H709",0
"H939",0
"I050",0
"I051",0
"I059",0
"I060",0
"I062",0
"I069",0
"I071",0
"I078",0
"I080",0
"I081",0
"I082",0
"I083",0
"I091",0
"I099",0
"I10",1
"I110",0
"I119",0
"I120",0
"I129",0
"I131",0
"I132",0
"I139",0
"I150",0
"I200",0
"I209",0
"I214",0
"I219",0
"I229",0
"I241",0
"I248",0
"I249",0
"I250",0
"I251",0
"I252",0
"I253",0
"I255",0
"I258",0
"I259",0
"I269",0
"I270",0
"I272",0
"I279",0
"I288",0
"I289",0
"I301",0
"I310",0
"I311",0
"I312",0
"I313",0
"I319",0
"I330",0
"I339",0
"I340",0
"I341",0
"I348",0
"I350",0
"I351",0
"I352",0
"I358",0
"I359",0
"I379",0
"I38",1
"I400",0
"I420",0
"I421",0
"I422",0
"I425",0
"I426",0
"I428",0
"I429",0
"I440",0
"I441",0
"I442",0
"I443",0
"I456",0
"I458",0
"I459",0
"I461",0
"I469",0
"I471",0
"I472",0
"I48",1
"I490",0
"I495",0
"I498",0
"I499",0
"I500",0
"I501",0
"I509",0
"I510",0
"I513",0
"I514",0
"I515",0
"I516",0
"I517",0
"I518",0
"I519",0
"I600",0
"I607",0
"I608",0
"I609",0
"I610",0
"I611",0
"I613",0
"I614",0
"I615",0
"I618",0
"I619",0
"I620",0
"I621",0
"I629",0
"I630",0
"I631",0
"I632",0
"I633",0
"I634",0
"I635",0
"I638",0
"I639",0
"I64",1
"I671",0
"I672",0
"I674",0
"I675",0
"I678",0
"I679",0
"I691",0
"I692",0
"I693",0
"I694",0
"I698",0
"I700",0
"I701",0
"I702",0
"I709",0
"I710",0
"I711",0
"I712",0
"I713",0
"I714",0
"I715",0
"I716",0
"I718",0
"I719",0
"I723",0
"I724",0
"I728",0
"I729",0
"I731",0
"I739",0
"I741",0
"I742",0
"I743",0
"I748",0
"I749",0
"I770",0
"I771",0
"I772",0
"I776",0
"I778",0
"I779",0
"I780",0
"I802",0
"I803",0
"I808",0
"I809",0
"I81",0
"I820",0
"I828",0
"I829",0
"I830",0
"I831",0
"I839",0
"I849",0
"I850",0
"I859",0
"I864",0
"I870",0
"I871",0
"I872",0
"I878",0
"I890",0
"I959",0
"I99",0
"J051",0
"J069",0
"J09",0
"J100",0
"J101",0
"J110",0
"J111",0
"J128",0
"J129",0
"J13",0
"J14",0
"J150",0
"J151",0
"J152",0
"J154",0
"J155",0
"J156",0
"J158",0
"J159",0
"J180",0
"J181",0
"J182",0
"J189",0
"J209",0
"J219",0
"J329",0
"J348",0
"J36",0
"J380",0
"J384",0
"J386",0
"J387",0
"J390",0
"J398",0
"J40",0
"J411",0
"J42",0
"J432",0
"J439",0
"J440",0
"J441",0
"J448",0
"J449",0
"J450",0
"J459",0
"J46",0
"J47",0
"J60",0
"J61",0
"J628",0
"J632",0
"J64",0
"J672",0
"J680",0
"J690",0
"J700",0
"J709",0
"J80",0
"J81",0
"J82",0
"J840",0
"J841",0
"J848",0
"J849",0
"J850",0
"J851",0
"J852",0
"J860",0
"J869",0
"J90",0
"J930",0
"J931",0
"J939",0
"J942",0
"J960",0
"J961",0
"J969",0
"J980",0
"J981",0
"J984",0
"J985",0
"J986",0
"J988",0
"J989",0
"K047",0
"K069",0
"K088",0
"K112",0
"K113",0
"K148",0
"K20",0
"K210",0
"K219",0
"K220",0
"K221",0
"K222",0
"K223",0
"K224",0
"K226",0
"K228",0
"K229",0
"K254",0
"K255",0
"K259",0
"K264",0
"K265",0
"K269",0
